sim_id,pressure,control,chaos,mean_entropy,final_entropy
0,0.0,0.0,0.0,3.4647257328033447,3.4647369384765625
1,0.0,0.0,0.1666666716337204,3.4558615684509277,3.4559614658355713
2,0.0,0.0,0.3333333134651184,3.430539608001709,3.4308886528015137
3,0.0,0.0,0.5,3.394559383392334,3.397995948791504
4,0.0,0.3333333432674408,0.0,1.6313515901565552,1.1437658071517944
5,0.0,0.3333333432674408,0.1666666716337204,2.8455111980438232,2.8357551097869873
6,0.0,0.3333333432674408,0.3333333134651184,3.309504747390747,3.3126320838928223
7,0.0,0.3333333432674408,0.5,3.41983962059021,3.4197897911071777
8,0.0,0.6666666269302368,0.0,1.3556787967681885,0.954778254032135
9,0.0,0.6666666269302368,0.1666666716337204,2.538517951965332,2.4911887645721436
10,0.0,0.6666666269302368,0.3333333134651184,3.1259801387786865,3.1437299251556396
11,0.0,0.6666666269302368,0.5,3.3436028957366943,3.3396811485290527
12,0.0,1.0,0.0,1.1147934198379517,0.7282089591026306
13,0.0,1.0,0.1666666716337204,2.3630006313323975,2.356034278869629
14,0.0,1.0,0.3333333134651184,2.9860198497772217,3.007460832595825
15,0.0,1.0,0.5,3.2658190727233887,3.2660601139068604
16,0.3333333432674408,0.0,0.0,0.2941052317619324,-0.0
17,0.3333333432674408,0.0,0.1666666716337204,1.6832817792892456,1.5478203296661377
18,0.3333333432674408,0.0,0.3333333134651184,2.345447301864624,2.2487919330596924
19,0.3333333432674408,0.0,0.5,2.7623870372772217,2.70919132232666
20,0.3333333432674408,0.3333333432674408,0.0,0.2581489682197571,-0.0
21,0.3333333432674408,0.3333333432674408,0.1666666716337204,1.6046756505966187,1.466138243675232
22,0.3333333432674408,0.3333333432674408,0.3333333134651184,2.2612764835357666,2.178636074066162
23,0.3333333432674408,0.3333333432674408,0.5,2.6695499420166016,2.6174464225769043
24,0.3333333432674408,0.6666666269302368,0.0,0.230302631855011,-0.0
25,0.3333333432674408,0.6666666269302368,0.1666666716337204,1.5464756488800049,1.426609992980957
26,0.3333333432674408,0.6666666269302368,0.3333333134651184,2.1990365982055664,2.1240880489349365
27,0.3333333432674408,0.6666666269302368,0.5,2.60426664352417,2.557441234588623
28,0.3333333432674408,1.0,0.0,0.2170279622077942,-0.0
29,0.3333333432674408,1.0,0.1666666716337204,1.4967429637908936,1.3813753128051758
30,0.3333333432674408,1.0,0.3333333134651184,2.154472827911377,2.0861549377441406
31,0.3333333432674408,1.0,0.5,2.5535874366760254,2.5010318756103516
32,0.6666666269302368,0.0,0.0,0.15220628678798676,-0.0
33,0.6666666269302368,0.0,0.1666666716337204,1.2913625240325928,1.2032983303070068
34,0.6666666269302368,0.0,0.3333333134651184,1.9391112327575684,1.882140040397644
35,0.6666666269302368,0.0,0.5,2.3348758220672607,2.285006523132324
36,0.6666666269302368,0.3333333432674408,0.0,0.1384761482477188,-0.0
37,0.6666666269302368,0.3333333432674408,0.1666666716337204,1.2569864988327026,1.1723741292953491
38,0.6666666269302368,0.3333333432674408,0.3333333134651184,1.907002329826355,1.8457274436950684
39,0.6666666269302368,0.3333333432674408,0.5,2.297675371170044,2.2491297721862793
40,0.6666666269302368,0.6666666269302368,0.0,0.12908852100372314,-0.0
41,0.6666666269302368,0.6666666269302368,0.1666666716337204,1.2298444509506226,1.1446698904037476
42,0.6666666269302368,0.6666666269302368,0.3333333134651184,1.8773590326309204,1.8252109289169312
43,0.6666666269302368,0.6666666269302368,0.5,2.2656540870666504,2.2225663661956787
44,0.6666666269302368,1.0,0.0,0.12625078856945038,-0.0
45,0.6666666269302368,1.0,0.1666666716337204,1.2067352533340454,1.1414844989776611
46,0.6666666269302368,1.0,0.3333333134651184,1.8563047647476196,1.7998452186584473
47,0.6666666269302368,1.0,0.5,2.2455224990844727,2.2122700214385986
48,1.0,0.0,0.0,0.1000010296702385,-0.0
49,1.0,0.0,0.1666666716337204,1.0897403955459595,1.0279284715652466
50,1.0,0.0,0.3333333134651184,1.7263414859771729,1.68424654006958
51,1.0,0.0,0.5,2.1070005893707275,2.0680384635925293
52,1.0,0.3333333432674408,0.0,0.09597598761320114,-0.0
53,1.0,0.3333333432674408,0.1666666716337204,1.07454514503479,1.0084807872772217
54,1.0,0.3333333432674408,0.3333333134651184,1.708986759185791,1.6694862842559814
55,1.0,0.3333333432674408,0.5,2.090543031692505,2.0502772331237793
56,1.0,0.6666666269302368,0.0,0.09094710648059845,-0.0
57,1.0,0.6666666269302368,0.1666666716337204,1.0628012418746948,0.9989495277404785
58,1.0,0.6666666269302368,0.3333333134651184,1.696838617324829,1.6767889261245728
59,1.0,0.6666666269302368,0.5,2.0767314434051514,2.0443010330200195
60,1.0,1.0,0.0,0.08616356551647186,-0.0
61,1.0,1.0,0.1666666716337204,1.0511475801467896,0.9899488091468811
62,1.0,1.0,0.3333333134651184,1.6866098642349243,1.6473411321640015
63,1.0,1.0,0.5,2.065777540206909,2.015918731689453
